,product_name,quality,material_id,worth,source
0,simple_product,low,1,5.0,\data_source_1
1,dented_product,low,1,0.5,\data_source_1
2,nice_product,medium,1,15.0,\data_source_1
3,worthless_product,low,1,0.0,\data_source_1
4,fancy_product,high,2,35.0,\data_source_1
5,cool_product,special,3,50.0,\data_source_1
6,torn_product,low,2,1.0,\data_source_1
7,okay_product,low,2,7.0,\data_source_1
8,broken_product,low,1,0.3,\data_source_1
9,dull_product,low,3,0.2,\data_source_1
10,worn_product,low,2,0.5,\data_source_1
0,simple_thing,low,1,5.0,\data_source_1
1,simple_thing,low,1,5.0,\data_source_1
2,simple_thing,low,1,5.0,\data_source_1
3,simple_thing,low,1,5.0,\data_source_1
4,basic_thing,low,2,6.0,\data_source_1
5,plain_thing,medium,3,12.0,\data_source_1
6,decent_thing,low,2,7.0,\data_source_1
7,decent_thing,low,2,5.0,\data_source_1
8,decent_thing,low,2,3.0,\data_source_1
9,decent_thing,low,2,5.0,\data_source_1
10,decent_thing,low,2,5.0,\data_source_1
11,decent_thing,low,2,7.0,\data_source_1
12,regular_thing,medium,3,20.0,\data_source_1
13,cool_thing,high,3,50.0,\data_source_1
14,cool_thing,high,3,70.0,\data_source_1
15,cool_thing,high,3,65.0,\data_source_1
16,really_nice_thing,special,2,65.0,\data_source_1
0,simple_object,low,1,5.0,\data_source_2
1,plain_object,medium,2,15.0,\data_source_2
2,fancy_object,high,2,35.0,\data_source_2
3,special_object,special,3,50.0,\data_source_2
4,basic_object,low,3,7.0,\data_source_2
5,regular_object,low,2,7.0,\data_source_2
6,normal_object,medium,2,15.0,\data_source_2
7,dull_object,low,1,7.0,\data_source_2
8,broken_object,low,1,2.0,\data_source_2
